,date,country,Confirmed,Deaths,Recovered,name,pop2020,PercentOfPopulationConfirmedDecimal,PercentOfPopulationConfirmed,MortalityDecimal,MortalityPercent,active,PercentOfPopulationActiveDecimal,PercentOfPopulationActive,PercentOfPopulationRecoveredDecimal,PercentOfPopulationRecovered
0,2020-01-22,Hong Kong,0.0,0.0,0.0,Hong Kong,7496.981,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
1,2020-01-22,Japan,2.0,0.0,0.0,Japan,126476.461,1.5813219188667842e-08,1.5813219188667842e-06,0.0,0.0,2.0,1.5813219188667842e-08,1.5813219188667842e-06,0.0,0.0
2,2020-01-22,Macau,1.0,0.0,0.0,Macau,649.335,1.540037114894469e-06,0.0001540037114894469,0.0,0.0,1.0,1.540037114894469e-06,0.0001540037114894469,0.0,0.0
3,2020-01-22,Mainland China,547.0,17.0,28.0,Mainland China,1439323.776,3.8003957769679753e-07,3.800395776967975e-05,0.031078610603290677,3.1078610603290677,519.0,3.6058599785125764e-07,3.800395776967975e-05,1.945357984553991e-08,1.945357984553991e-06
4,2020-01-22,South Korea,1.0,0.0,0.0,South Korea,51269.185,1.950489363152545e-08,1.950489363152545e-06,0.0,0.0,1.0,1.950489363152545e-08,1.950489363152545e-06,0.0,0.0
5,2020-01-22,Taiwan,1.0,0.0,0.0,Taiwan,23816.775,4.198721279434348e-08,4.198721279434348e-06,0.0,0.0,1.0,4.198721279434348e-08,4.198721279434348e-06,0.0,0.0
6,2020-01-22,Thailand,2.0,0.0,0.0,Thailand,69799.978,2.8653304160067214e-08,2.8653304160067213e-06,0.0,0.0,2.0,2.8653304160067214e-08,2.8653304160067213e-06,0.0,0.0
7,2020-01-22,US,1.0,0.0,0.0,US,331002.651,3.0211238398812704e-09,3.0211238398812705e-07,0.0,0.0,1.0,3.0211238398812704e-09,3.0211238398812705e-07,0.0,0.0
8,2020-01-23,Australia,0.0,0.0,0.0,Australia,25499.884,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
9,2020-01-23,Brazil,0.0,0.0,0.0,Brazil,212559.417,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
10,2020-01-23,Colombia,0.0,0.0,0.0,Colombia,50882.891,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
11,2020-01-23,Hong Kong,2.0,0.0,0.0,Hong Kong,7496.981,2.667740521151114e-07,2.6677405211511137e-05,0.0,0.0,2.0,2.667740521151114e-07,2.6677405211511137e-05,0.0,0.0
12,2020-01-23,Japan,1.0,0.0,0.0,Japan,126476.461,7.906609594333921e-09,7.906609594333921e-07,0.0,0.0,1.0,7.906609594333921e-09,7.906609594333921e-07,0.0,0.0
13,2020-01-23,Macau,2.0,0.0,0.0,Macau,649.335,3.080074229788938e-06,0.0003080074229788938,0.0,0.0,2.0,3.080074229788938e-06,0.0003080074229788938,0.0,0.0
14,2020-01-23,Mainland China,639.0,18.0,30.0,Mainland China,1439323.776,4.439584829035715e-07,4.439584829035715e-05,0.028169014084507043,2.8169014084507045,609.0,4.2311536164049307e-07,4.439584829035715e-05,2.0843121263078476e-08,2.0843121263078476e-06
15,2020-01-23,Malaysia,0.0,0.0,0.0,Malaysia,32365.999,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
16,2020-01-23,Mexico,0.0,0.0,0.0,Mexico,128932.753,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
17,2020-01-23,Philippines,0.0,0.0,0.0,Philippines,109581.078,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
18,2020-01-23,Singapore,1.0,0.0,0.0,Singapore,5850.342,1.7093017809898977e-07,1.7093017809898976e-05,0.0,0.0,1.0,1.7093017809898977e-07,1.7093017809898976e-05,0.0,0.0
19,2020-01-23,South Korea,1.0,0.0,0.0,South Korea,51269.185,1.950489363152545e-08,1.950489363152545e-06,0.0,0.0,1.0,1.950489363152545e-08,1.950489363152545e-06,0.0,0.0
20,2020-01-23,Taiwan,1.0,0.0,0.0,Taiwan,23816.775,4.198721279434348e-08,4.198721279434348e-06,0.0,0.0,1.0,4.198721279434348e-08,4.198721279434348e-06,0.0,0.0
21,2020-01-23,Thailand,3.0,0.0,0.0,Thailand,69799.978,4.2979956240100824e-08,4.297995624010083e-06,0.0,0.0,3.0,4.2979956240100824e-08,4.297995624010083e-06,0.0,0.0
22,2020-01-23,US,1.0,0.0,0.0,US,331002.651,3.0211238398812704e-09,3.0211238398812705e-07,0.0,0.0,1.0,3.0211238398812704e-09,3.0211238398812705e-07,0.0,0.0
23,2020-01-23,Vietnam,2.0,0.0,0.0,Vietnam,97338.579,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0,2.0,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0
24,2020-01-24,France,2.0,0.0,0.0,France,65273.511,3.064030062669679e-08,3.0640300626696793e-06,0.0,0.0,2.0,3.064030062669679e-08,3.0640300626696793e-06,0.0,0.0
25,2020-01-24,Hong Kong,2.0,0.0,0.0,Hong Kong,7496.981,2.667740521151114e-07,2.6677405211511137e-05,0.0,0.0,2.0,2.667740521151114e-07,2.6677405211511137e-05,0.0,0.0
