country,date,Unnamed: 0,Confirmed,Deaths,Last Update,Latitude,Longitude,province,Recovered,name,pop2020,confirmed_percent,% Confirmed,confirmed_per_Thousand,mortality_percent,% Mortality,% Death,active,active_percent,% Active,active_per_Thousand,recovered_per_Thousand,recovered_percent,% Recovered,days1,days100
Austria,2020-03-08,4033,104.0,0.0,2020-03-08T09:13:14,47.5162,14.5501,,0.0,Austria,9006.398000000001,1.1547346675108072e-05,0.0011547346675108072,0.011547346675108074,0.0,0.0,0.0,104.0,1.1547346675108072e-05,0.0011547346675108072,0.011547346675108074,0.0,0.0,0.0,13,1 days 00:00:00.000000000
Austria,2020-03-09,4285,131.0,0.0,2020-03-09T18:33:03,47.5162,14.5501,,2.0,Austria,9006.398000000001,1.4545215523453436e-05,0.0014545215523453438,0.01454521552345344,0.0,0.0,0.0,129.0,1.4323151164316744e-05,0.0014323151164316744,0.014323151164316743,0.0002220643591366937,2.2206435913669373e-07,2.220643591366937e-05,14,2 days 00:00:00.000000000
Austria,2020-03-10,4547,182.0,0.0,2020-03-10T16:13:16,47.5162,14.5501,,4.0,Austria,9006.398000000001,2.0207856681439127e-05,0.002020785668143913,0.02020785668143913,0.0,0.0,0.0,178.0,1.976372796316574e-05,0.001976372796316574,0.019763727963165743,0.0004441287182733874,4.4412871827338746e-07,4.441287182733874e-05,15,3 days 00:00:00.000000000
Austria,2020-03-11,4753,246.0,0.0,2020-03-11T22:33:03,47.5162,14.5501,,4.0,Austria,9006.398000000001,2.731391617381333e-05,0.0027313916173813324,0.027313916173813332,0.0,0.0,0.0,242.0,2.6869787455539943e-05,0.002686978745553994,0.02686978745553994,0.0004441287182733874,4.4412871827338746e-07,4.441287182733874e-05,16,4 days 00:00:00.000000000
Austria,2020-03-12,4967,302.0,1.0,2020-03-12T11:13:29,47.5162,14.5501,,4.0,Austria,9006.398000000001,3.353171822964075e-05,0.003353171822964075,0.03353171822964075,0.0033112582781456954,0.3311258278145696,3.676562237362478e-08,298.0,3.3087589511367365e-05,0.0033087589511367364,0.033087589511367366,0.0004441287182733874,4.4412871827338746e-07,4.441287182733874e-05,17,5 days 00:00:00.000000000
Austria,2020-03-13,5220,504.0,1.0,2020-03-11T20:00:00,47.5162,14.5501,,6.0,Austria,9006.398000000001,5.5960218502446815e-05,0.0055960218502446825,0.05596021850244682,0.001984126984126984,0.1984126984126984,2.203019435879898e-08,498.0,5.529402542503673e-05,0.005529402542503672,0.05529402542503674,0.0006661930774100812,6.661930774100811e-07,6.661930774100811e-05,18,6 days 00:00:00.000000000
Bahrain,2020-03-10,4560,110.0,0.0,2020-03-10T18:53:02,26.0275,50.55,,22.0,Bahrain,1701.575,6.464598974479526e-05,0.006464598974479528,0.06464598974479528,0.0,0.0,0.0,88.0,5.171679179583621e-05,0.005171679179583621,0.051716791795836214,0.012929197948959052,1.2929197948959053e-05,0.0012929197948959052,16,1 days 00:00:00.000000000
Bahrain,2020-03-11,4756,195.0,0.0,2020-03-11T22:33:03,26.0275,50.55,,35.0,Bahrain,1701.575,0.00011459970909304617,0.011459970909304616,0.11459970909304615,0.0,0.0,0.0,160.0,9.403053053788402e-05,0.009403053053788402,0.09403053053788403,0.020569178555162132,2.056917855516213e-05,0.0020569178555162127,17,2 days 00:00:00.000000000
Bahrain,2020-03-12,4973,195.0,0.0,2020-03-11T22:33:03,26.0275,50.55,,35.0,Bahrain,1701.575,0.00011459970909304617,0.011459970909304616,0.11459970909304615,0.0,0.0,0.0,160.0,9.403053053788402e-05,0.009403053053788402,0.09403053053788403,0.020569178555162132,2.056917855516213e-05,0.0020569178555162127,18,3 days 00:00:00.000000000
Bahrain,2020-03-13,5234,189.0,0.0,2020-03-11T20:00:00,26.0667,50.5577,,44.0,Bahrain,1701.575,0.00011107356419787548,0.011107356419787549,0.1110735641978755,0.0,0.0,0.0,145.0,8.521516829995739e-05,0.008521516829995739,0.08521516829995739,0.025858395897918104,2.5858395897918105e-05,0.0025858395897918104,19,4 days 00:00:00.000000000
Belgium,2020-03-06,3605,109.0,0.0,2020-03-06T12:33:03,50.8333,4.0,,1.0,Belgium,11589.623,9.404965114050733e-06,0.0009404965114050732,0.009404965114050734,0.0,0.0,0.0,108.0,9.318681030435589e-06,0.0009318681030435588,0.009318681030435587,8.628408361514434e-05,8.628408361514434e-08,8.628408361514435e-06,32,1 days 00:00:00.000000000
Belgium,2020-03-07,3797,169.0,0.0,2020-03-07T17:53:03,50.8333,4.0,,1.0,Belgium,11589.623,1.4582010130959396e-05,0.0014582010130959394,0.014582010130959394,0.0,0.0,0.0,168.0,1.4495726047344251e-05,0.001449572604734425,0.01449572604734425,8.628408361514434e-05,8.628408361514434e-08,8.628408361514435e-06,33,2 days 00:00:00.000000000
Belgium,2020-03-08,4022,200.0,0.0,2020-03-08T17:23:07,50.8333,4.0,,1.0,Belgium,11589.623,1.725681672302887e-05,0.001725681672302887,0.017256816723028867,0.0,0.0,0.0,199.0,1.7170532639413725e-05,0.0017170532639413725,0.017170532639413726,8.628408361514434e-05,8.628408361514434e-08,8.628408361514435e-06,34,3 days 00:00:00.000000000
Belgium,2020-03-09,4277,239.0,0.0,2020-03-09T10:43:05,50.8333,4.0,,1.0,Belgium,11589.623,2.0621895984019496e-05,0.0020621895984019494,0.0206218959840195,0.0,0.0,0.0,238.0,2.0535611900404348e-05,0.002053561190040435,0.020535611900404357,8.628408361514434e-05,8.628408361514434e-08,8.628408361514435e-06,35,4 days 00:00:00.000000000
Belgium,2020-03-10,4542,267.0,0.0,2020-03-10T11:53:03,50.8333,4.0,,1.0,Belgium,11589.623,2.303785032524354e-05,0.002303785032524354,0.02303785032524354,0.0,0.0,0.0,266.0,2.29515662416284e-05,0.0022951566241628395,0.022951566241628397,8.628408361514434e-05,8.628408361514434e-08,8.628408361514435e-06,36,5 days 00:00:00.000000000
Belgium,2020-03-11,4749,314.0,3.0,2020-03-11T18:52:03,50.8333,4.0,,1.0,Belgium,11589.623,2.7093202255155318e-05,0.0027093202255155323,0.027093202255155324,0.009554140127388536,0.9554140127388536,8.243702256223981e-08,313.0,2.7006918171540177e-05,0.002700691817154018,0.027006918171540183,8.628408361514434e-05,8.628408361514434e-08,8.628408361514435e-06,37,6 days 00:00:00.000000000
Belgium,2020-03-12,4966,314.0,3.0,2020-03-11T18:52:03,50.8333,4.0,,1.0,Belgium,11589.623,2.7093202255155318e-05,0.0027093202255155323,0.027093202255155324,0.009554140127388536,0.9554140127388536,8.243702256223981e-08,313.0,2.7006918171540177e-05,0.002700691817154018,0.027006918171540183,8.628408361514434e-05,8.628408361514434e-08,8.628408361514435e-06,38,7 days 00:00:00.000000000
Belgium,2020-03-13,5275,559.0,3.0,2020-03-11T20:00:00,50.5039,4.4699,,1.0,Belgium,11589.623,4.823280274086568e-05,0.004823280274086569,0.048232802740865686,0.005366726296958855,0.5366726296958855,4.630630605463917e-08,558.0,4.814651865725054e-05,0.004814651865725054,0.04814651865725055,8.628408361514434e-05,8.628408361514434e-08,8.628408361514435e-06,39,8 days 00:00:00.000000000
