country,date,Unnamed: 0,Confirmed,Deaths,Last Update,Latitude,Longitude,province,Recovered,name,pop2020,confirmed_percent,% Confirmed,days100
Australia,2020-03-14,5444,112.0,2.0,2020-03-14T13:33:04,-33.8688,151.2093,New South Wales,4.0,Australia,25499.884,4.3921768428436776e-06,0.00043921768428436777,1
Austria,2020-03-08,4033,104.0,0.0,2020-03-08T09:13:14,47.5162,14.5501,,0.0,Austria,9006.398000000001,1.1547346675108072e-05,0.0011547346675108072,1
Austria,2020-03-09,4285,131.0,0.0,2020-03-09T18:33:03,47.5162,14.5501,,2.0,Austria,9006.398000000001,1.4545215523453436e-05,0.0014545215523453438,2
Austria,2020-03-10,4547,182.0,0.0,2020-03-10T16:13:16,47.5162,14.5501,,4.0,Austria,9006.398000000001,2.0207856681439127e-05,0.002020785668143913,3
Austria,2020-03-11,4753,246.0,0.0,2020-03-11T22:33:03,47.5162,14.5501,,4.0,Austria,9006.398000000001,2.731391617381333e-05,0.0027313916173813324,4
Austria,2020-03-12,4967,302.0,1.0,2020-03-12T11:13:29,47.5162,14.5501,,4.0,Austria,9006.398000000001,3.353171822964075e-05,0.003353171822964075,5
Austria,2020-03-13,5220,504.0,1.0,2020-03-11T20:00:00,47.5162,14.5501,,6.0,Austria,9006.398000000001,5.5960218502446815e-05,0.0055960218502446825,6
Austria,2020-03-14,5406,655.0,1.0,2020-03-14T16:13:55,47.5162,14.5501,,6.0,Austria,9006.398000000001,7.27260776172672e-05,0.0072726077617267185,7
Bahrain,2020-03-10,4560,110.0,0.0,2020-03-10T18:53:02,26.0275,50.55,,22.0,Bahrain,1701.575,6.464598974479526e-05,0.006464598974479528,1
Bahrain,2020-03-11,4756,195.0,0.0,2020-03-11T22:33:03,26.0275,50.55,,35.0,Bahrain,1701.575,0.00011459970909304617,0.011459970909304616,2
Bahrain,2020-03-12,4973,195.0,0.0,2020-03-11T22:33:03,26.0275,50.55,,35.0,Bahrain,1701.575,0.00011459970909304617,0.011459970909304616,3
Bahrain,2020-03-13,5234,189.0,0.0,2020-03-11T20:00:00,26.0667,50.5577,,44.0,Bahrain,1701.575,0.00011107356419787548,0.011107356419787549,4
Bahrain,2020-03-14,5425,210.0,0.0,2020-03-14T11:53:29,26.0667,50.5577,,44.0,Bahrain,1701.575,0.00012341507133097274,0.012341507133097276,5
